Date,Open,High,Low,Close,Volume
2015-01-06,65.62,65.75,63.7,64.33,5.484
2015-01-07,64.57,67.05,64.48,66.93,8.283
2015-01-08,68.16,68.29,67.42,67.63,7.949
2015-01-09,66.69,67.2,65.11,65.78,8.78
2015-01-12,66.34,66.93,65.31,65.76,6.16
2015-01-13,65.72,66.07,62.91,63.39,13.908
2015-01-14,62.62,64.07,61.86,63.7,9.448
2015-01-15,64.0,64.11,62.87,62.89,6.149
2015-01-16,62.95,64.62,62.64,64.54,8.106
2015-01-20,65.06,65.29,62.75,63.45,9.065
2015-01-21,63.1,63.45,62.28,62.7,7.98
2015-01-22,63.2,63.45,61.88,62.98,8.942
2015-01-23,63.66,63.66,62.35,62.43,6.881
2015-01-26,62.26,63.04,61.68,62.83,8.181
2015-01-27,62.33,63.5,62.2,63.1,6.532
2015-01-28,63.44,63.56,61.69,61.85,6.91
2015-01-29,62.12,63.38,61.59,63.12,8.486
2015-01-30,62.09,62.68,60.12,60.35,17.582
2015-02-02,61.49,61.49,58.65,60.7,11.491
2015-02-03,61.6,61.76,59.98,61.65,10.722
2015-02-04,58.95,58.95,56.65,56.91,31.251
2015-02-05,57.55,58.26,56.15,57.99,18.965
2015-02-06,57.71,57.83,56.69,56.9,13.891
2015-02-09,55.67,56.35,55.18,55.48,22.522
2015-02-10,55.93,57.01,55.6,56.89,18.917
2015-02-11,57.36,57.83,56.26,56.69,14.682
2015-02-12,57.4,57.58,56.16,57.05,11.941
2015-02-13,57.35,58.1,56.9,58.05,11.303
2015-02-17,58.95,59.0,57.9,58.72,12.79
2015-02-18,59.15,59.48,58.31,59.24,10.782
2015-02-19,58.92,59.08,58.65,59.0,8.666
2015-02-20,59.61,61.34,59.22,61.3,15.534
2015-02-23,61.54,61.9,60.24,60.57,11.583
2015-02-24,60.85,61.3,60.52,60.87,7.901
2015-02-25,61.1,61.1,60.21,60.62,9.984
2015-02-26,60.35,60.81,60.27,60.52,7.328
2015-02-27,60.53,60.99,60.37,60.5,8.649
2015-03-02,60.5,60.75,60.06,60.46,6.151
2015-03-03,60.35,60.45,59.44,59.62,7.421
2015-03-04,59.32,60.42,59.03,60.27,8.536
2015-03-05,57.21,59.48,56.65,56.86,47.052
2015-03-06,56.95,57.4,55.44,55.64,22.853
2015-03-09,55.93,56.03,55.26,55.54,14.78
2015-03-10,55.22,56.3,54.78,55.84,17.908
2015-03-11,56.19,56.88,55.66,56.62,14.629
2015-03-12,56.78,58.91,56.65,58.0,18.228
2015-03-13,58.12,58.87,57.35,58.0,10.114
2015-03-16,58.46,59.7,58.33,59.12,12.099
2015-03-17,58.72,60.18,58.7,59.73,10.984
2015-03-18,59.76,60.42,59.25,59.89,11.889
2015-03-19,60.09,61.48,59.99,61.19,14.11
2015-03-20,61.5,61.73,60.32,60.4,13.313
2015-03-23,60.05,61.19,59.62,60.48,7.926
2015-03-24,60.65,60.82,59.45,59.63,7.97
2015-03-25,60.08,60.09,58.21,58.22,11.619
2015-03-26,57.98,58.09,57.22,57.27,10.854
2015-03-27,57.63,58.05,57.31,57.65,6.83
2015-03-30,57.93,58.34,57.79,58.24,5.782
2015-03-31,58.01,58.81,57.71,58.54,12.314
2015-04-01,58.48,58.49,56.33,57.1,14.903
2015-04-02,57.44,57.81,56.9,57.01,8.787
2015-04-06,56.81,57.89,56.68,57.61,10.28
2015-04-07,58.25,58.75,57.79,58.42,10.172
2015-04-08,58.5,58.98,57.95,58.81,11.076
2015-04-09,59.2,60.43,59.05,60.32,12.698
2015-04-10,60.5,62.33,60.32,62.0,17.895
2015-04-13,61.81,62.16,61.06,61.2,11.401
2015-04-14,61.4,61.81,60.51,61.72,13.071
2015-04-15,62.1,62.7,61.97,62.03,11.534
2015-04-16,61.8,62.91,61.65,62.59,9.816
2015-04-17,62.12,62.79,61.87,62.29,9.906
2015-04-20,62.91,64.0,62.8,63.54,12.779
2015-04-21,63.89,64.24,63.27,63.61,8.457
2015-04-22,63.6,64.73,63.56,64.52,13.874
2015-04-23,65.26,65.31,62.73,64.25,18.405
2015-04-24,64.31,66.37,64.14,66.07,14.86
2015-04-27,66.02,66.66,64.86,65.02,18.142
2015-04-28,64.6,66.49,64.2,66.49,13.085
2015-04-29,65.7,66.18,65.51,65.63,9.864
2015-04-30,65.39,65.92,64.32,64.66,10.299
2015-05-01,65.09,65.5,63.88,64.32,9.871
2015-05-04,64.32,65.44,64.01,64.68,8.494
2015-05-05,64.2,64.9,63.78,63.86,7.636
2015-05-06,64.11,64.53,63.4,63.94,8.476
2015-05-07,63.59,64.81,63.59,64.7,8.638
2015-05-08,65.1,65.8,64.9,65.24,7.541
2015-05-11,65.19,65.8,65.08,65.2,7.979
2015-05-12,64.75,65.27,64.59,64.81,5.927
2015-05-13,64.98,65.32,64.63,65.3,8.519
2015-05-14,65.86,66.27,64.94,65.97,5.869
2015-05-15,65.93,66.52,65.91,65.99,6.786
2015-05-18,65.79,65.91,65.14,65.61,7.858
2015-05-19,65.71,66.12,65.4,65.73,7.675
2015-05-20,65.92,66.2,65.39,65.89,9.956
2015-05-21,65.45,65.81,64.87,65.65,10.553
2015-05-22,65.48,65.87,65.31,65.48,14.042
2015-05-26,65.72,67.0,65.66,66.1,21.034
2015-05-27,66.75,67.99,66.57,67.38,40.779
2015-05-28,67.42,67.53,66.63,67.47,12.892
2015-05-29,67.22,67.52,66.39,66.59,9.451
2015-06-01,66.8,67.26,66.26,66.93,12.427
2015-06-02,66.7,67.23,66.33,66.62,11.133
2015-06-03,66.9,67.3,66.62,67.01,20.804
2015-06-04,66.55,67.87,66.52,67.42,10.539
2015-06-05,66.98,67.76,66.62,67.4,8.909
2015-06-08,67.86,68.2,67.53,67.79,10.277
2015-06-09,67.52,68.08,67.51,67.67,8.133
2015-06-10,67.66,68.44,67.54,68.24,7.349
2015-06-11,68.67,68.67,67.65,68.04,7.552
2015-06-12,67.89,67.93,66.59,67.05,8.25
2015-06-15,66.66,67.05,66.1,66.91,7.028
2015-06-16,66.72,67.4,66.62,66.77,5.201
2015-06-17,66.97,67.99,66.88,67.77,7.377
2015-06-18,67.79,69.07,67.79,68.98,9.079
2015-06-19,68.5,69.75,68.5,69.48,9.98
2015-06-22,69.85,70.6,69.73,70.12,10.125
2015-06-23,70.01,70.49,69.57,70.02,8.72
2015-06-24,70.52,70.75,69.03,69.22,9.308
2015-06-25,69.67,70.38,69.29,69.82,6.191
2015-06-26,69.95,70.6,69.68,70.46,9.67
2015-06-29,69.27,70.02,67.08,67.18,12.057
2015-06-30,68.0,68.22,66.66,67.19,11.46
2015-07-01,67.9,68.6,67.68,68.51,7.695
2015-07-02,68.68,68.9,67.79,68.21,6.246
2015-07-06,67.53,69.0,67.49,68.22,17.029
2015-07-07,68.42,68.79,67.32,68.56,7.822
2015-07-08,67.79,68.44,67.58,67.66,5.027
2015-07-09,68.48,68.92,67.8,67.97,6.517
2015-07-10,68.94,69.5,68.53,69.23,6.891
2015-07-13,69.42,69.7,69.17,69.57,5.507
2015-07-14,69.71,70.52,69.4,69.8,6.628
2015-07-15,69.81,70.04,69.31,69.75,16.761
2015-07-16,70.14,70.3,69.83,69.99,6.844
2015-07-17,69.99,70.13,69.7,69.99,6.141
2015-07-20,70.0,71.11,69.86,70.8,9.633
2015-07-21,70.81,71.6,70.22,70.54,5.028
2015-07-22,70.26,70.65,70.03,70.56,5.702
2015-07-23,70.25,70.93,70.14,70.52,5.637
2015-07-24,67.53,69.02,67.35,68.08,13.495
2015-07-27,68.46,70.96,68.46,69.34,12.842
2015-07-28,69.5,71.44,69.08,71.23,10.098
2015-07-29,71.29,71.51,70.74,70.77,6.793
2015-07-30,70.86,70.88,69.27,70.16,6.82
2015-07-31,70.38,70.38,69.73,70.01,6.181
2015-08-03,70.19,70.79,69.28,69.73,9.872
2015-08-04,70.04,70.39,69.67,69.95,5.411
2015-08-05,70.1,70.64,70.05,70.3,10.09
2015-08-06,70.37,70.78,68.8,69.24,6.172
2015-08-07,69.08,69.3,67.77,68.62,6.214
2015-08-10,68.92,69.43,68.5,69.21,8.189
2015-08-11,68.5,69.29,67.94,68.25,7.473
2015-08-12,67.83,68.92,67.24,68.75,8.338
2015-08-13,68.68,69.09,68.21,68.54,7.185
2015-08-14,68.56,69.44,68.41,68.65,5.865
2015-08-17,68.71,69.82,68.3,69.37,17.67
2015-08-18,69.42,69.74,68.67,68.86,6.376
2015-08-19,68.75,69.08,68.21,68.59,6.27
2015-08-20,68.0,68.43,67.48,67.48,9.601
2015-08-21,66.74,67.16,65.83,65.9,16.277
2015-08-24,61.17,64.85,53.87,63.45,24.293
2015-08-25,65.11,65.12,60.65,60.71,15.267
2015-08-26,62.47,63.22,60.88,63.14,15.29
2015-08-27,64.03,64.6,63.0,64.51,12.592
2015-08-28,63.91,64.78,63.44,63.98,7.316
2015-08-31,64.14,64.31,62.25,62.41,15.581
2015-09-01,61.0,61.63,60.16,60.5,12.703
2015-09-02,61.56,61.6,60.28,60.98,12.044
2015-09-03,61.45,62.28,61.35,61.58,11.777
2015-09-04,60.65,60.8,58.96,59.77,9.281
2015-09-08,60.22,60.94,59.91,60.57,9.263
2015-09-09,61.52,61.52,59.11,59.26,8.437
2015-09-10,59.36,60.13,58.89,59.58,9.307
2015-09-11,59.62,59.76,58.97,59.35,9.365
2015-09-14,59.43,59.62,57.54,58.94,9.096
2015-09-15,58.98,59.44,58.37,59.2,10.475
2015-09-16,59.5,59.64,58.63,59.51,8.044
2015-09-17,59.56,60.92,59.39,59.86,10.282
2015-09-18,59.42,61.83,58.97,61.22,28.957
2015-09-21,61.24,61.74,59.29,59.39,11.038
2015-09-22,58.17,58.26,56.91,57.74,14.192
2015-09-23,57.9,58.4,57.15,57.43,9.827
2015-09-24,56.93,57.48,55.92,56.57,8.626
2015-09-25,57.84,57.88,55.08,55.74,8.674
2015-09-28,55.39,55.43,52.34,52.5,15.123
2015-09-29,53.1,54.19,51.88,52.79,12.843
2015-09-30,53.54,54.5,53.36,54.41,11.896
2015-10-01,54.68,55.23,53.93,55.13,9.256
2015-10-02,53.87,55.85,53.72,55.82,6.943
2015-10-05,56.39,56.95,55.44,56.68,9.333
2015-10-06,56.26,56.67,53.96,55.08,9.008
2015-10-07,54.85,56.55,53.91,55.63,11.056
2015-10-08,55.13,56.16,54.8,56.04,6.737
2015-10-09,56.18,56.5,55.47,55.64,7.178
2015-10-12,55.8,56.27,55.52,55.77,6.515
2015-10-13,55.17,55.36,53.71,53.8,9.468
2015-10-14,54.09,54.62,53.57,53.94,8.727
2015-10-15,54.32,56.2,53.85,56.14,7.782
2015-10-16,56.29,56.97,55.79,56.53,7.343
2015-10-19,56.29,56.7,55.69,56.16,6.463
2015-10-20,56.15,56.38,54.63,54.83,6.495
2015-10-21,55.28,55.61,53.07,53.83,11.639
2015-10-22,53.88,54.44,45.45,48.27,46.518
2015-10-23,49.41,51.73,48.64,50.34,26.215
2015-10-26,50.17,52.48,49.35,51.87,13.89
2015-10-27,52.01,53.49,52.01,52.58,11.711
2015-10-28,52.82,53.84,52.08,53.26,7.869
2015-10-29,53.2,55.18,53.02,54.1,9.304
2015-10-30,57.87,60.73,57.66,59.55,27.466
2015-11-02,61.6,64.2,61.44,63.38,17.009
2015-11-03,63.12,63.72,61.92,62.43,8.755
2015-11-04,62.43,64.15,62.3,63.8,10.343
2015-11-05,63.7,64.18,61.69,62.77,10.237
2015-11-06,62.25,64.3,62.13,64.13,7.261
2015-11-09,63.62,64.13,63.11,63.23,8.239
2015-11-10,63.33,63.62,62.28,62.3,6.898
2015-11-11,62.2,62.27,60.57,60.86,8.212
2015-11-12,60.79,61.73,60.15,60.23,7.766
2015-11-13,60.01,60.97,58.89,59.86,7.834
2015-11-16,59.74,60.81,59.56,60.01,6.965
2015-11-17,60.1,61.73,59.73,60.38,8.405
2015-11-18,60.26,61.06,59.85,60.99,5.47
2015-11-19,61.22,61.73,60.14,60.55,5.571
2015-11-20,60.94,61.36,60.57,61.11,7.49
2015-11-23,61.31,61.53,60.84,61.15,6.405
2015-11-24,60.56,61.65,60.53,61.13,5.214
2015-11-25,61.1,61.13,60.21,60.29,4.88
2015-11-27,60.17,60.45,59.61,60.0,2.404
2015-11-30,59.96,60.21,57.96,58.15,12.66
2015-12-01,58.23,59.1,57.16,59.02,11.29
2015-12-02,59.17,59.39,57.37,57.72,7.663
2015-12-03,57.71,57.75,55.53,56.12,9.702
2015-12-04,56.5,57.48,56.2,57.18,6.748
2015-12-07,57.9,57.99,55.76,56.27,7.891
2015-12-08,55.56,56.87,55.51,56.67,6.896
2015-12-09,56.28,57.44,55.72,56.03,6.208
2015-12-10,56.0,56.65,55.65,55.78,6.737
2015-12-11,55.78,55.78,53.85,54.04,9.389
2015-12-14,53.71,55.48,53.24,55.44,9.42
2015-12-15,56.15,57.0,55.91,56.39,6.99
2015-12-16,56.67,57.69,56.2,57.63,6.282
2015-12-17,57.66,57.93,56.35,56.38,7.849
2015-12-18,55.9,56.1,55.36,55.74,13.807
2015-12-21,56.0,56.26,55.7,56.2,4.572
2015-12-22,56.54,57.99,56.42,57.59,8.391
2015-12-23,57.88,58.61,57.61,58.58,6.634
2015-12-24,58.38,58.73,58.0,58.46,2.153
2015-12-28,58.27,58.97,57.76,58.75,5.586
2015-12-29,59.02,59.7,59.02,59.45,5.074
2015-12-30,59.4,60.12,59.31,59.8,5.22
2015-12-31,59.5,59.93,59.2,59.24,6.105
2016-01-04,58.06,58.32,56.4,57.61,10.308
2016-01-05,57.99,58.25,56.82,57.37,7.18
2016-01-06,56.37,57.56,56.18,57.38,8.953
2016-01-07,56.52,57.84,56.34,57.21,9.293
2016-01-08,57.55,57.81,55.48,55.65,7.985
2016-01-11,55.86,55.98,52.83,53.88,10.483
2016-01-12,54.47,54.97,53.57,54.84,6.8
2016-01-13,54.55,54.62,50.98,51.18,10.432
2016-01-14,51.32,56.83,50.71,54.56,16.705
2016-01-15,53.01,57.41,53.01,57.34,27.009
2016-01-19,57.53,57.73,54.23,54.99,13.644
2016-01-20,54.21,57.93,53.7,57.15,11.993
2016-01-21,57.29,58.77,56.92,58.36,12.097
